title,tekst,url
"Moja paczka nie dotarła, mimo że na stronie śledzenia widnieje informacja, że została dostarczona","Jeśli nie jesteś w stanie zlokalizować Twojej przesyłki i nie otrzymałeś powiadomienia, że przesyłka została pozostawiona w wyznaczonym przez Ciebie miejscu lub u sąsiada, skontaktuj się z naszym .",https://support.zooplus.pl/pl/support/solutions/articles/76000049386-moja-paczka-nie-dotar%C5%82a-mimo-%C5%BCe-na-stronie-%C5%9Bledzenia-widnieje-informacja-%C5%BCe-zosta%C5%82a-dostarczona
Czy otrzymam powiadomienie o moim nadchodzącym zamówieniu w ramach zooplus Abonament?,"5 dni przed przetworzeniem Twojego następnego zamówienia w ramach subskrypcji, wyślemy Ci przypomnienie drogą mailową. Jeśli potrzebujesz zmodyfikować lub wstrzymać swoje zamówienie w ramach usługi zooplus Abonament, możesz to zrobić do 2 dni przed datą zamówienia. Aby dokonać zmian, zaloguj się do konta klienta i przejdź do sekcji „zooplus Abonament.” Możesz także dodać do zamówienia produkty z dostawą jednorazową jeśli potrzebujesz zakupić dodatkowe artykuły.",https://support.zooplus.pl/pl/support/solutions/articles/76000060852-czy-otrzymam-powiadomienie-o-moim-nadchodz%C4%85cym-zam%C3%B3wieniu-w-ramach-zooplus-abonament-
Jak mogę zmodyfikować lub anulować usługę zooplus Abonament?,"Masz pełną kontrolę nad Twoją subskrypcją. Aby nią zarządzać, zaloguj się do konta klienta i przejdź do sekcji „zooplus Abonament.” Możesz zmienić częstotliwość dostaw, produkty lub całkowicie anulować usługę, bez żadnych dodatkowych kosztów.",https://support.zooplus.pl/pl/support/solutions/articles/76000060851-jak-mog%C4%99-zmodyfikowa%C4%87-lub-anulowa%C4%87-us%C5%82ug%C4%99-zooplus-abonament-
W jaki sposób mogę aktywować usługę zooplus Abonament?,"Aktywowanie subskrypcji jest proste! Wybierz produkt i jego ilość, który chcesz subskrybować, a następnie dodaj go do koszyka. W trakcie procesu składania zamówienia aktywuj subskrypcję dla tego produktu i wybierz częstotliwość, z jaką chcesz otrzymywać zamówienia. I to wszystko! Twoje zamówienie będzie automatycznie odnawiane zgodnie z wybranym przez Ciebie harmonogramem.",https://support.zooplus.pl/pl/support/solutions/articles/76000060850-w-jaki-spos%C3%B3b-mog%C4%99-aktywowa%C4%87-us%C5%82ug%C4%99-zooplus-abonament-
Jak działa usługa zooplus Abonament?,"Usługa zooplus Abonament umożliwia tworzenie automatycznych, cyklicznych zamówień zarówno na karmę dla zwierząt, jak i na akcesoria. Możesz cieszyć się bezproblemowymi zakupami i mieć pewność, że Twoim ukochanym zwierzakom nigdy nie zabraknie niezbędnych artykułów. zooplus Abonament ma wiele zalet, w tym: (*) rabat nie łączy się z innymi kodami kuponu czy promocjami Więcej informacji na temat usługi zooplus Abonament znajdziesz .",https://support.zooplus.pl/pl/support/solutions/articles/76000060848-jak-dzia%C5%82a-us%C5%82uga-zooplus-abonament-
Czy mogę anulować zamówienie?,"Naszym celem jest realizowanie wszystkich zamówień tak szybko, jak tylko to możliwe. Zamówienia złożone z wyborem innej formy płatności niż przelew bankowy są przekazywane do realizacji niemal natychmiast po zweryfikowaniu płatności. Nawet w weekend! Jeśli chcesz anulować zamówienie, przejdź do zakładki „Moje zamówienia” w Twoim koncie klienta . Zlokalizuj zamówienie, które chcesz anulować, kliknij „Szczegóły zamówienia”, a następnie „Anuluj zamówienie”. Po wybraniu powodu i kliknięciu „Anuluj to zamówienie”, otrzymasz komunikat potwierdzający anulowanie zamówienia. Potwierdzenie otrzymasz również drogą mailową. Ważne informacje: Opcja samodzielnego anulowania zamówienia będzie dostępna w koncie klienta w zależności od etapu, na jakim jest Twoje zamówienie oraz od wybranej przez Ciebie metody płatności. Jeśli opcja „Anuluj zamówienie” nie jest dostępna, skontaktuj się z naszym , aby poprosić o pomoc w anulowaniu zamówienia. Niestety nie możemy zagwarantować, że anulowanie zamówienia będzie możliwe. Jeśli anulowanie zamówienia nie jest już możliwe i zamówienie zostanie nadane, masz również możliwość odmowy przyjęcia przesyłki. Firma kurierska zwróci nam wówczas paczkę. Jeśli Twoje zamówienie zostało już dostarczone, możesz zwrócić niechciany produkt w ciągu 14 dni od daty jego otrzymania. Zapoznaj się z naszą , aby uzyskać więcej informacji.",https://support.zooplus.pl/pl/support/solutions/articles/76000049371-czy-mog%C4%99-anulowa%C4%87-zam%C3%B3wienie-
Czy mogę połączyć kilka zamówień?,"Nie ma możliwości połączenia kilku zamówień w jedno, jeśli już zostało złożone.",https://support.zooplus.pl/pl/support/solutions/articles/76000049372-czy-mog%C4%99-po%C5%82%C4%85czy%C4%87-kilka-zam%C3%B3wie%C5%84-
Jak mogę śledzić moje zamówienie?,"Status zamówienia można sprawdzić w każdej chwili klikając na link w e-mailu z powiadomieniem o wysyłce lub odwiedzając stronę firmy kurierskiej i wprowadzając w polu śledzenia paczki numer przesłany w potwierdzeniu nadania przesyłki. Status Twojego zamówienia możesz również sprawdzić w każdej chwili logując się do konta lub kontaktując się z naszym . Pamiętaj: Po otrzymaniu powiadomienia o nadaniu paczki może upłynąć trochę czasu, zanim informacje o śledzeniu usługi dostawy zostaną zaktualizowane.",https://support.zooplus.pl/pl/support/solutions/articles/76000049369-jak-mog%C4%99-%C5%9Bledzi%C4%87-moje-zam%C3%B3wienie-
"Skąd będę wiedzieć, że moje zamówienie zostało wysłane?","Gdy zamówienie opuści nasz magazyn, otrzymasz potwierdzenie nadania paczki drogą e-mailową. Ze względów logistycznych Twoje zamówienie może zostać wysłane i w różnym terminie. Powiadomienie o nadaniu przesyłki będzie zawierało istotne informacje, takie jak: Nie otrzymałeś powiadomienia o wysłaniu przesyłki? Jeśli jesteś zarejestrowanym klientem, status zamówienia możesz również sprawdzić w Twojej historii zamówień w .",https://support.zooplus.pl/pl/support/solutions/articles/76000049368-sk%C4%85d-b%C4%99d%C4%99-wiedzie%C4%87-%C5%BCe-moje-zam%C3%B3wienie-zosta%C5%82o-wys%C5%82ane-
Czy mogę dokonać zmian w moim zamówieniu lub w adresie dostawy?,"Naszym celem jest realizowanie wszystkich zamówień tak szybko, jak tylko to możliwe. Zamówienia złożone z wyborem innej formy płatności niż przelew bankowy są przekazywane do realizacji niemal natychmiast po zweryfikowaniu płatności. Nawet w weekend! Z tej przyczyny nie ma możliwości dokonania modyfikacji Twojego zamówienia, nawet jeśli nie zostało ono jeszcze nadane z naszego magazynu. Skontaktuj się z naszym , aby sprawdzić, czy możliwe jest anulowanie zamówienia. Dołożymy wszelkich starań, aby udzielić Ci pomocy, jednak nie możemy zagwarantować, że anulowanie zamówienia na tym etapie będzie możliwe. Jeśli w adresie dostawy jest błąd, możesz przekierować dostawę pod inny adres za pośrednictwem strony internetowej firmy kurierskiej, gdy paczka będzie już w drodze do Ciebie. Jeśli skorzystałeś z przedpłaty na konto bankowe jako formy płatności i jeszcze jej nie zrealizowałeś, najczęściej mamy możliwość wprowadzenia pewnych zmian w Twoim zamówieniu. Skontaktuj się z naszym , aby sprawdzić, czy można dokonać zmian w Twoim zamówieniu. Po złożeniu zamówienia, nie mamy możliwości modyfikacji następujących elementów zamówienia:",https://support.zooplus.pl/pl/support/solutions/articles/76000049370-czy-mog%C4%99-dokona%C4%87-zmian-w-moim-zam%C3%B3wieniu-lub-w-adresie-dostawy-
Czy otrzymam potwierdzenie zamówienia?,"Po złożeniu zamówienia, w ciągu 1-2 godzin otrzymasz wiadomość e-mail z potwierdzeniem przyjęcia przez nas Twojego zamówienia. Jeśli wiadomość potwierdzająca zamówienie jeszcze do Ciebie nie dotarła, możesz łatwo sprawdzić historię Twoich zamówień w koncie . Jeśli jesteś niezarejestrowanym klientem, skontaktuj z naszym .",https://support.zooplus.pl/pl/support/solutions/articles/76000049367-czy-otrzymam-potwierdzenie-zam%C3%B3wienia-
"Otrzymałem przypomnienie o płatności, mimo że zapłaciłem za zamówienie","Jeśli tak się stanie, będziemy potrzebować potwierdzenia dokładnej daty przelewu, przelanej kwoty oraz odbiorcy. Skorzystaj z , aby przesłać załącznik w formacie JPEG lub PDF do właściwego potwierdzenia przelewu bankowego. Upewnij się, że dane odbiorcy płatności są widoczne. W przypadku dalszych pytań prosimy o kontakt z naszym",https://support.zooplus.pl/pl/support/solutions/articles/76000049366-otrzyma%C5%82em-przypomnienie-o-p%C5%82atno%C5%9Bci-mimo-%C5%BCe-zap%C5%82aci%C5%82em-za-zam%C3%B3wienie
Płatność PayPal nie powiodła się – co mam zrobić?,"Jeśli płatność PayPal nie powiodła się, w ciągu kilku minut w Twoim koncie w zakładce „Moje zamówienia” pojawi się opcja ponowienia płatności. Aby zobaczyć tę opcję, kliknij najpierw w ""Szczegóły zamówienia"". Wyślemy Ci również e-mail z przypomnieniem o płatności i linkiem do jej ponowienia.",https://support.zooplus.pl/pl/support/solutions/articles/76000049365-p%C5%82atno%C5%9B%C4%87-paypal-nie-powiod%C5%82a-si%C4%99-co-mam-zrobi%C4%87-
Płatność moją kartą kredytową/debetową nie powiodła się – co mam zrobić?,"Istnieje wiele przyczyn, dla których płatność kartą kredytową/debetową może się nie powieść, oto kilka z nich: Jeśli płatność kartą kredytową/debetową nie powiedzie się, Twoje zamówienie zostanie utworzone, wstrzymane na 7 dni, a następnie automatycznie anulowane, jeśli płatność nie zostanie zrealizowana pomyślnie. Sprawdź dane karty, a następnie ponów płatność tą samą kartą lub dodaj nową. Opcja ponowienia płatności pojawi się w ciągu kilku minut w Twoim koncie w zakładce „Moje zamówienia”. Aby zobaczyć tę opcję, kliknij najpierw w ""Szczegóły zamówienia"". Wyślemy Ci również e-mail z przypomnieniem o płatności i linkiem do jej ponowienia.",https://support.zooplus.pl/pl/support/solutions/articles/76000049364-p%C5%82atno%C5%9B%C4%87-moj%C4%85-kart%C4%85-kredytow%C4%85-debetow%C4%85-nie-powiod%C5%82a-si%C4%99-co-mam-zrobi%C4%87-
Czy mogę złożyć zamówienie przez telefon?,"Jeśli chcesz złożyć zamówienie telefonicznie, skontaktuj się z nami pod numerem +48 12 20 05 223 i przygotuj następujące informacje: Ważne informacje: składając zamówienie telefonicznie, musisz mieć konto zarejestrowane w naszym sklepie. Formy płatności, jakie będą dla Ciebie dostępne, to płatność za pobraniem lub przelew tradycyjny. Nie przyjmujemy zamówień drogą mailową.",https://support.zooplus.pl/pl/support/solutions/articles/76000049360-czy-mog%C4%99-z%C5%82o%C5%BCy%C4%87-zam%C3%B3wienie-przez-telefon-
Czy strona zooplus jest bezpieczna?,"Ochrona Twoich danych osobowych jest dla nas bardzo ważna. Używamy szyfrowania TLS (protokół Transport Layer Security), aby mieć pewność, że komunikacja i Twoje dane osobowe są zawsze w pełni chronione. Oznacza to, że za każdym razem, gdy przesyłasz nam dane, takie jak adres lub dane karty kredytowej, są one szyfrowane i nikt inny nie może ich zobaczyć poza Tobą i nami.",https://support.zooplus.pl/pl/support/solutions/articles/76000049359-czy-strona-zooplus-jest-bezpieczna-
Jak wybrać lub zmienić metodę płatności?,"Aby wybrać metodę płatności, przejdź do w sekcji ""Zarządzanie zamówieniami"", a następnie wybierz opcję ""Zmień"" w sekcji ""Płatność"". Wybierz preferowaną metodę płatności i kliknij ""Aktualizuj"". Możesz również wybrać metodę płatności podczas składania zamówienia, przed jego złożeniem. Pamiętaj: Aktualizacja metody płatności w Twoim koncie klienta nie zmieni metody płatności w Twoim najnowszym złożonym zamówieniu. Jeśli chcesz zmienić metodę płatności po złożeniu zamówienia, skontaktuj się z naszym .",https://support.zooplus.pl/pl/support/solutions/articles/76000049362-jak-wybra%C4%87-lub-zmieni%C4%87-metod%C4%99-p%C5%82atno%C5%9Bci-
Płatność Przelewy24 nie powiodła się – co mam zrobić?,"Jeśli podczas płatności wystąpił błąd lub płatność nie powiodła się, w ciągu kilku minut w Twoim koncie w zakładce „Moje zamówienia” pojawi się opcja ponowienia płatności. Aby zobaczyć tę opcję, kliknij najpierw w ""Szczegóły zamówienia"". Wyślemy Ci również e-mail z przypomnieniem o płatności i linkiem do jej ponowienia. Jeżeli potrzebujesz dalszego wsparcia, prosimy o kontakt z naszym .",https://support.zooplus.pl/pl/support/solutions/articles/76000049363-p%C5%82atno%C5%9B%C4%87-przelewy24-nie-powiod%C5%82a-si%C4%99-co-mam-zrobi%C4%87-
Jakie są dostępne metody płatności?,"Akceptujemy następujące metody płatności: Wszystkie oferowane przez nas metody płatności są w pełni bezpieczne. Wszelkie dane osobowe (np. dane płatnicze, adres e-mail i adres korespondencyjny) oraz dane płatności są zabezpieczone poprzez szyfrowanie oraz dodatkowy proces autoryzacji. Szybka, bezpieczna i wygodna metoda płatności. Po złożeniu zamówienia zostaniesz przekierowany na stronę internetową Twojego banku. Możesz również skorzystać z płatności za pośrednictwem systemu BLIK. Po dokonaniu transakcji automatycznie powrócisz na stronę zooplus. Pobranie pieniędzy z rachunku karty następuje w ciągu kilku dni od momentu wysłania towaru przez zooplus do klienta. Podczas dodawania nowej karty możesz zapisać dane karty do realizacji kolejnych zakupów. Apple Pay jest dostępne jako metoda płatności dla urządzeń z systemem iOS w naszej aplikacji i mobilnym sklepie internetowym. Możesz wybrać tę metodę płatności w polu realizacji transakcji. Jest ona dostępna przez Safari i umożliwia płatność przy użyciu połączonej karty płatniczej. Płatność odbywa się bezpośrednio za pośrednictwem konta Apple. Po złożeniu zamówienia użytkownik zostaje przekierowany do firmy Apple w celu autoryzacji płatności określonej wartości zamówienia. Gdy tylko zostaniemy poinformowani o autoryzacji, zostanie rozpoczęty proces wysyłki - w zależności od czasu dostawy wskazanego wraz z towarem. W zależności od metody płatności wybranej za pomocą Apple Pay, zostanie ona obciążona faktyczną kwotą faktury, pomniejszoną o wszelkie rabaty, kupony itp. natychmiast po realizacji wysyłki. W tym wypadku, Klient zobowiązuje się opłacić rachunek w ciągu 14 dni od dnia otrzymania towaru. Wiążący jest dzień wpływu płatności na konto zooplus. Nie możemy zagwarantować, że ta forma płatności będzie dostępna dla każdego zamówienia. W tym wypadku należy przygotować odliczoną kwotę gotówki dla kuriera dostarczającego przesyłkę. Jeśli wybierzesz PayPal, zostaniesz przekierowany na stronę płatności PayPal, aby dokończyć płatność. Jeśli nie masz konta PayPal, możesz je założyć podczas procesu składania zamówienia. Należy przelać należną kwotę w ciągu 7 dni od złożenia zamówienia. Pamiętaj, aby podać numer zamówienia w tytule przelewu. Przelew należy wykonać na nasze polskie konto bankowe: zooplus SE Bank Pekao SA Numer konta w systemie IBAN: PL75124060741111001044407497 Kod SWIFT/BIC banku: PKOPPLPW Realizacja przelewu bankowego może trwać od 1 do 3 dni roboczych. Twoje zamówienie zostanie przekazane do realizacji po zaksięgowaniu pełnej płatności. W określonych przypadkach lub w zależności od wybranego przez klienta rodzaju dostawy, zooplus zastrzega sobie prawo akceptacji jedynie niektórych metod płatności. Więcej informacji na temat dostępnych u nas metod płatności możesz znaleźć .",https://support.zooplus.pl/pl/support/solutions/articles/76000049361-jakie-s%C4%85-dost%C4%99pne-metody-p%C5%82atno%C5%9Bci-
Czy wydrukowana faktura jest dołączona do mojej paczki?,"Ze względu na ochronę środowiska, zooplus nie wystawia już papierowych faktur. Twoja faktura zostanie wysłana do Ciebie e-mailem jako plik PDF do pobrania. Jako zarejestrowany klient znajdziesz swoją fakturę również w koncie w sekcji ""Moje zamówienia"".",https://support.zooplus.pl/pl/support/solutions/articles/76000049358-czy-wydrukowana-faktura-jest-do%C5%82%C4%85czona-do-mojej-paczki-
Czy istnieje minimalna i maksymalna wartość zamówienia?,"Minimalna wartość zamówienia w naszym sklepie wynosi 8 zł (bez ). Nie mamy określonej maksymalnej wartości zamówienia, jednak nasze produkty są dostępne tylko w ilościach detalicznych i przeznaczonych do użycia we własnym gospodarstwie domowym.",https://support.zooplus.pl/pl/support/solutions/articles/76000049357-czy-istnieje-minimalna-i-maksymalna-warto%C5%9B%C4%87-zam%C3%B3wienia-
