country_name,IMF_forecast,year,WorldBank_estimate
Barbados,"6,863",2024,"6,394"
South Sudan,"6,517",2024,—
Fiji,"5,801",2024,"5,495"
Eswatini,"5,085",2024,"4,598"
Liberia,"4,754",2024,"4,332"
Sierra Leone,"4,558",2024,"3,810"
Djibouti,"4,364",2024,"4,099"
Suriname,"4,337",2024,"3,782"
Aruba,"4,069",2024,"3,545"
Andorra,"3,897",2024,"3,728"
Belize,"3,296",2024,"3,282"
Bhutan,"3,110",2024,"2,898"
Burundi,"3,075",2024,"2,642"
Central African Republic,"2,810",2024,"2,555"
Cape Verde,"2,718",2024,"2,587"
Gambia,"2,694",2024,"2,340"
Saint Lucia,"2,582",2024,"2,520"
Lesotho,"2,395",2024,"2,046"
Seychelles,"2,203",2024,"2,141"
Guinea-Bissau,"2,151",2024,"1,966"
Antigua and Barbuda,"2,127",2024,"2,033"
San Marino,"2,033",2024,"1,855"
Timor-Leste,"1,992",2024,"2,243"
Solomon Islands,"1,707",2024,"1,631"
Comoros,"1,422",2024,"1,352"
Grenada,"1,406",2024,"1,320"
Vanuatu,"1,289",2024,"1,126"
Saint Kitts and Nevis,"1,134",2024,"1,077"
Saint Vincent and the Grenadines,"1,128",2024,"1,066"
Samoa,"1,024",2024,934
São Tomé and Príncipe,751,2024,603
Dominica,708,2024,654
Tonga,581,2024,500
Micronesia,484,2024,460
Kiribati,311,2024,279
Palau,308,2024,263
Marshall Islands,305,2024,284
Nauru,161,2024,154
Tuvalu,66,2024,62
